apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
backflash,SUCCESS,32,105,28,0,1,N/A,1.53,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/backflash_results.xml
beita_com_beita_contact,SUCCESS,33,47,45,0,1,N/A,1.32,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/beita_com_beita_contact_results.xml
cajino_baidu,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
chat_hook,SUCCESS,20,29,64,0,1,N/A,1.28,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/chat_hook_results.xml
chulia,SUCCESS,6,29,26,0,0,N/A,1.13,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/chulia_results.xml
death_ring_materialflow,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
dsencrypt_samp,SUCCESS,4,4,7,0,0,N/A,0.79,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/dsencrypt_samp_results.xml
exprespam,SUCCESS,1,9,1,0,0,N/A,0.79,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/exprespam_results.xml
fakeappstore,SUCCESS,15,39,34,0,3,N/A,4.41,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/fakeappstore_results.xml
fakebank_android_samp,SUCCESS,51,215,92,0,1,N/A,2.25,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/fakebank_android_samp_results.xml
fakedaum,SUCCESS,11,29,20,0,0,N/A,1.61,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/fakedaum_results.xml
fakemart,SUCCESS,2,7,5,0,0,N/A,0.87,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/fakemart_results.xml
fakeplay,SUCCESS,4,38,15,0,0,N/A,1.21,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/fakeplay_results.xml
faketaobao,SUCCESS,5,14,6,0,0,N/A,0.99,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/faketaobao_results.xml
godwon_samp,SUCCESS,0,N/A,N/A,0,0,N/A,0.56,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/godwon_samp_results.xml
hummingbad_android_samp,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
jollyserv,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
overlay_android_samp,SUCCESS,5,70,15,0,109,N/A,111.68,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/overlay_android_samp_results.xml
overlaylocker2_android_samp,SUCCESS,8,26,28,0,0,N/A,1.08,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/overlaylocker2_android_samp_results.xml
phospy,SUCCESS,9,12,19,0,0,N/A,1.67,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/phospy_results.xml
proxy_samp,SUCCESS,11,37,34,0,0,N/A,1.11,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/proxy_samp_results.xml
remote_control_smack,FAILED,N/A,129,134,0,N/A,N/A,326.34,N/A,-9,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/remote_control_smack_results.xml
