apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
backflash,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.08,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/backflash_results.xml
beita_com_beita_contact,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/beita_com_beita_contact_results.xml
cajino_baidu,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
chat_hook,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/chat_hook_results.xml
chulia,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/chulia_results.xml
death_ring_materialflow,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
dsencrypt_samp,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/dsencrypt_samp_results.xml
exprespam,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/exprespam_results.xml
fakeappstore,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/fakeappstore_results.xml
fakebank_android_samp,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/fakebank_android_samp_results.xml
fakedaum,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/fakedaum_results.xml
fakemart,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/fakemart_results.xml
fakeplay,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/fakeplay_results.xml
faketaobao,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/faketaobao_results.xml
godwon_samp,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/godwon_samp_results.xml
hummingbad_android_samp,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
jollyserv,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
overlay_android_samp,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/overlay_android_samp_results.xml
overlaylocker2_android_samp,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/overlaylocker2_android_samp_results.xml
phospy,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/phospy_results.xml
proxy_samp,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/proxy_samp_results.xml
remote_control_smack,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/remote_control_smack_results.xml
repane,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/repane_results.xml
roidsec,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.06,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/roidsec_results.xml
samsapo,FAILED,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,1,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1809-39apps-max-precision/samsapo_results.xml
