app_name,source_class,source_method,source_line,sink_class,sink_method,sink_line,is_negative
save_me,com.savemebeta.Analyse.AnonymousClass1,public void onClick(View v),134,com.savemebeta.DatabaseOperationslogin,public void putInformation(DatabaseOperationslogin dop, String name, String number, String pass),43,False
save_me,com.savemebeta.Analyse.AnonymousClass1,public void onClick(View v),137,com.savemebeta.DatabaseOperationslogin,public void putInformation(DatabaseOperationslogin dop, String name, String number, String pass),44,False
save_me,com.savemebeta.DatabaseOperations,public Cursor getInformation(DatabaseOperations dop),55,com.savemebeta.SCHKMS,public void fetchContacts(),333,False
save_me,com.savemebeta.DatabaseOperations,public Cursor getInformation(DatabaseOperations dop),55,com.savemebeta.CO.sendcontact,public Void doInBackground(Void... params),321,False
save_me,com.savemebeta.DatabaseOperations,public Cursor getInformation(DatabaseOperations dop),55,com.savemebeta.CO.sendcontact,public Void doInBackground(Void... params),321,False
save_me,com.savemebeta.CO,public void onCreate(),127,com.savemebeta.CO.sendcontact,public Void doInBackground(Void... params),321,False
save_me,com.savemebeta.CO,public void onCreate(),123,com.savemebeta.CO.sendcontact,public Void doInBackground(Void... params),321,False
save_me,com.savemebeta.DatabaseOperationssmssave2,public Cursor getInformation(DatabaseOperationssmssave2 dop),55,com.savemebeta.Scan.sendsmsdata2,public Void doInBackground(Void... params),797,False
save_me,com.savemebeta.DatabaseOperationssmssave2,public Cursor getInformation(DatabaseOperationssmssave2 dop),55,com.savemebeta.Scan.sendsmsdata2,public Void doInBackground(Void... params),797,False
save_me,com.savemebeta.DatabaseOperationssmssave2,public Cursor getInformation(DatabaseOperationssmssave2 dop),55,com.savemebeta.Scan.sendsmsdata2,public Void doInBackground(Void... params),797,False
save_me,com.savemebeta.Analyse.AnonymousClass1,public void onClick(View v),137,com.savemebeta.Scan.sendsmsdata,public Void doInBackground(Void... params),706,False
save_me,com.savemebeta.SOSsm.AnonymousClass1,public void onClick(View arg0),62,com.savemebeta.SOSsm.sendsmsdata2,public Void doInBackground(Void... params),112,False
save_me,com.savemebeta.CHECKUPD,public void onCreate(),115,com.savemebeta.CHECKUPD.sendmyinfos,public Void doInBackground(Void... params),162,False
save_me,com.savemebeta.CHECKUPD,public void onCreate(),115,com.savemebeta.CHECKUPD.sendmystatus,public Void doInBackground(Void... params),215,False
save_me,com.savemebeta.CHECKUPD,public void onCreate(),115,com.savemebeta.CHECKUPD.senddata,public Void doInBackground(Void... params),258,False
save_me,com.savemebeta.DatabaseOperationssmssave,public Cursor getInformation(DatabaseOperationssmssave dop),55,com.savemebeta.Scan.sendsmsdata,public Void doInBackground(Void... params),706,False
save_me,com.savemebeta.DatabaseOperationssmssave,public Cursor getInformation(DatabaseOperationssmssave dop),55,com.savemebeta.Scan.sendsmsdata2,public Void doInBackground(Void... params),797,False
save_me,com.savemebeta.CHECKUPD,public void onCreate(),100,com.savemebeta.CHECKUPD.sendmyinfos,public Void doInBackground(Void... params),162,False
save_me,com.savemebeta.CHECKUPD,public void onCreate(),100,com.savemebeta.CHECKUPD.sendmystatus,public Void doInBackground(Void... params),215,True
save_me,com.savemebeta.CHECKUPD,public void onCreate(),100,com.savemebeta.CHECKUPD.senddata,public Void doInBackground(Void... params),258,True
save_me,com.savemebeta.RC,public void onCreate(),105,com.savemebeta.RC.StatusTask,public Void doInBackground(Void... params),158,False
save_me,com.savemebeta.GTSTSR,public void onCreate(),122,com.savemebeta.update.sendmystatus,public Void doInBackground(Void... params),79,False
save_me,com.savemebeta.CO,public void onCreate(),127,com.savemebeta.update.sendmystatus,public Void doInBackground(Void... params),79,False
save_me,com.savemebeta.GTSTSR,public void onCreate(),122,com.savemebeta.GTSTSR.globaldata,public Void doInBackground(Void... params),222,False
save_me,com.savemebeta.GTSTSR,public void onCreate(),122,com.savemebeta.GTSTSR.StatusTask,public Void doInBackground(Void... params),163,False
save_me,com.savemebeta.DatabaseOperations,public Cursor getInformation(DatabaseOperations dop),55,com.savemebeta.DatabaseOperations,public void putInformation(DatabaseOperations dop, String name, String number, String pass),42,True
save_me,com.savemebeta.DatabaseOperations,public Cursor getInformation(DatabaseOperations dop),55,com.savemebeta.DatabaseOperations,public void putInformation(DatabaseOperations dop, String name, String number, String pass),43,True
save_me,com.savemebeta.DatabaseOperations,public Cursor getInformation(DatabaseOperations dop),55,com.savemebeta.DatabaseOperations,public void putInformation(DatabaseOperations dop, String name, String number, String pass),44,True
save_me,com.savemebeta.SCHKMS,public void onCreate(),147,com.savemebeta.SCHKMS,public void fetchContacts(),333,True
save_me,com.savemebeta.Scan,public void onCreate(Bundle savedInstanceState),177,com.savemebeta.Scan.AnonymousClass3,public void onClick(View arg0),213,False
save_me,com.savemebeta.Scan,public void onCreate(Bundle savedInstanceState),177,com.savemebeta.Scan.AnonymousClass6,public void onClick(View arg0),239,False
chat_hook,com.example.chathook.InjectUtils,public static String getMountDate(Context context),109,com.example.chathook.InjectUtils,public static boolean exeCMD(String cmd),174,False
chat_hook,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),36,com.example.chathook.HookReceiver.MsgTask,public String doInBackground(String... params),115,False
chat_hook,com.example.chathook.InjectApplicaiton,public void getSN(),128,com.example.chathook.InjectApplicaiton,public void getSN(),144,False
chat_hook,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),36,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),48,False
chat_hook,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),36,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),51,False
chat_hook,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),36,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),62,False
chat_hook,com.example.chathook.InjectApplicaiton,public void getSN(),128,com.example.chathook.HookReceiver.MsgTask,public String doInBackground(String... params),110,False
chat_hook,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),36,com.example.chathook.HookReceiver.MsgTask,public String doInBackground(String... params),110,False
chat_hook,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),36,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),52,False
chat_hook,com.example.chathook.InjectApplicaiton,public void getSN(),128,com.example.chathook.InjectApplicaiton,public void getSN(),129,False
chat_hook,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),36,com.example.chathook.HookReceiver,public void onReceive(Context context, Intent intent),72,False
